状态,源文件,类型,源文件字节,当前构建归属字节,构建分包,判定说明
动态保留,assets/resources/Audio/道具声音/鲨鱼.wav,audio,483884,484004,resources,道具名称动态音效，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/Audio/eff/喜金.wav,audio,482352,482472,resources,牌局动作名称动态音效，来自 assets/scripts/logic/DrhLogicMgr.ts；牌局动作名称动态音效，来自 assets/scripts/logic/DrhPlayerLogic.ts
动态保留,assets/resources/project.manifest,data,431211,431311,resources,UUID 引用自 assets/resources/UI/panelUpdate.prefab；动态字面量 project，来自 assets/scripts/UI/panelUpdate.ts
动态保留,assets/resources/pk2/0_11d.png,image,387664,387932,resources,牌值动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌值动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/Audio/道具声音/机枪.wav,audio,387116,387236,resources,道具名称动态音效，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/pk2/2_11d.png,image,379701,379969,resources,牌值动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌值动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/pk2/3_12d.png,image,372627,372895,resources,牌值动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌值动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/pk2/0_13d.png,image,372340,372608,resources,牌值动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌值动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/zuotype/1.jpg,image,369485,369751,resources,UUID 引用自 assets/Scenes/drh8.fire；UUID 引用自 assets/resources/UI/panelGameView.prefab；牌型/牌背动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌型/牌背动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/pk2/2_13d.png,image,368152,368420,resources,牌值动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌值动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/zuotype/4.jpg,image,365094,365360,resources,UUID 引用自 assets/Scenes/drh8.fire；UUID 引用自 assets/resources/UI/panelGameView.prefab；牌型/牌背动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌型/牌背动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/zuotype/5.jpg,image,364794,365060,resources,UUID 引用自 assets/Scenes/drh8.fire；UUID 引用自 assets/resources/UI/panelGameView.prefab；牌型/牌背动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌型/牌背动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/pk2/1_12d.png,image,358728,358996,resources,牌值动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌值动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/pk2/3_13d.png,image,353427,353695,resources,牌值动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌值动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/zuotype/3.jpg,image,351215,351481,resources,UUID 引用自 assets/Scenes/drh8.fire；UUID 引用自 assets/resources/UI/panelGameView.prefab；牌型/牌背动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌型/牌背动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/pk2/1_13d.png,image,336207,336475,resources,牌值动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌值动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/pk2/bigbig.png,image,331726,332001,resources,UUID 引用自 assets/Scenes/drh8.fire；UUID 引用自 assets/resources/Prefabs/丢牌对象.prefab；UUID 引用自 assets/resources/Prefabs/回顾对象.prefab；UUID 引用自 assets/resources/Prefabs/回顾对象2.prefab；UUID 引用自 assets/resources/UI/panelGameView.prefab；牌值动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌值动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/zuotype/牌背2.png,image,317426,317699,resources,UUID 引用自 assets/Scenes/drh8.fire；UUID 引用自 assets/resources/UI/panelGameView.prefab；牌型/牌背动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌型/牌背动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/zuotype/搓背2.png,image,317426,317699,resources,牌型/牌背动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌型/牌背动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/zuotype/牌背1.png,image,312588,312859,resources,UUID 引用自 assets/Scenes/drh8.fire；UUID 引用自 assets/resources/UI/panelGameView.prefab；牌型/牌背动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌型/牌背动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/zuotype/牌背0.png,image,312588,312859,resources,牌型/牌背动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌型/牌背动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/zuotype/搓背1.png,image,312588,312859,resources,UUID 引用自 assets/Scenes/drh8.fire；UUID 引用自 assets/resources/UI/panelGameView.prefab；牌型/牌背动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌型/牌背动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/zuotype/搓背0.png,image,312588,312859,resources,牌型/牌背动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌型/牌背动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/zuotype/牌背3.png,image,312319,312592,resources,UUID 引用自 assets/Scenes/drh8.fire；UUID 引用自 assets/resources/UI/panelGameView.prefab；牌型/牌背动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌型/牌背动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/zuotype/搓背3.png,image,312319,312592,resources,牌型/牌背动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌型/牌背动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/pk2/3_11d.png,image,302996,303264,resources,牌值动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌值动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/pk2/0_12d.png,image,296187,296455,resources,牌值动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌值动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/zuotype/2.jpg,image,292558,292824,resources,UUID 引用自 assets/Scenes/drh8.fire；UUID 引用自 assets/resources/UI/panelGameView.prefab；牌型/牌背动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌型/牌背动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/pk2/2_12d.png,image,291940,292208,resources,牌值动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌值动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/pk2/1_11d.png,image,275342,275610,resources,牌值动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌值动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/Audio/道具声音/Nice.wav,audio,262700,262818,resources,道具名称动态音效，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/Audio/eff/切牌.wav,audio,253304,253424,resources,牌局动作名称动态音效，来自 assets/scripts/logic/DrhLogicMgr.ts；牌局动作名称动态音效，来自 assets/scripts/logic/DrhPlayerLogic.ts
动态保留,assets/resources/UI/panelGameView.prefab,prefab,2449239,200810,resources,UUID 引用自 assets/Scenes/drh8.fire；动态 prefab 名 panelGameView，来自 assets/scripts/PlayGameManager.ts；动态 prefab 名 panelGameView，来自 assets/scripts/UI/panelTalk.ts；审计入口
动态保留,assets/resources/Audio/eff/送金币.wav,audio,194356,194479,resources,牌局动作名称动态音效，来自 assets/scripts/logic/DrhLogicMgr.ts；牌局动作名称动态音效，来自 assets/scripts/logic/DrhPlayerLogic.ts
动态保留,assets/resources/pk2/4_1d.png,image,190830,191097,resources,牌值动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts；牌值动态加载，来自 assets/scripts/logic/PKCardInfoScript.ts
动态保留,assets/resources/Audio/道具声音/钓鱼.wav,audio,168236,168356,resources,道具名称动态音效，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/Audio/道具声音/大拇指.wav,audio,161324,161447,resources,道具名称动态音效，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/Audio/道具声音/亲嘴.wav,audio,154412,154532,resources,道具名称动态音效，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/avatars/头像10.png,image,149944,150215,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/Audio/eff/提醒.wav,audio,150044,150163,resources,牌局动作名称动态音效，来自 assets/scripts/logic/DrhLogicMgr.ts；牌局动作名称动态音效，来自 assets/scripts/logic/DrhPlayerLogic.ts
动态保留,assets/resources/avatars/头像12.png,image,146447,146718,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/avatars/头像20.png,image,145917,146188,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/avatars/头像18.png,image,143583,143854,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/avatars/头像07.png,image,143447,143718,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/avatars/头像19.png,image,143381,143652,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/avatars/头像16.png,image,143225,143496,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/avatars/头像15.png,image,142885,143156,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/avatars/头像08.png,image,142456,142727,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/avatars/头像13.png,image,142314,142585,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/avatars/头像14.png,image,142064,142335,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/avatars/头像06.png,image,141843,142114,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/avatars/头像11.png,image,141057,141328,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/avatars/头像03.png,image,138928,139199,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/avatars/头像17.png,image,138363,138634,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/avatars/头像09.png,image,138124,138395,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/avatars/头像05.png,image,137449,137720,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/avatars/头像04.png,image,136615,136886,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/avatars/头像02.png,image,136571,136842,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
动态保留,assets/resources/Audio/道具声音/炸弹.wav,audio,135980,136100,resources,道具名称动态音效，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/avatars/头像01.png,image,129217,129488,resources,头像编号动态加载，来自 assets/scripts/logic/ImageManager.ts
