状态,源文件,类型,源文件字节,当前构建归属字节,构建分包,判定说明
疑似未用-当前已打包,assets/resources/表情声音/7.wav,audio,551768,551883,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/3_fennu/3_fennu_tex.png,image,143292,143370,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/6_niupigu/6_niupigu_ske.json,data,135546,138465,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/4_dushen/4_dushen_ske.json,data,126675,130285,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/10_xiyue/10_xiyue_ske.json,data,110202,112784,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情声音/5.mp3,audio,111281,111396,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/4_dushen/4_dushen_tex.png,image,105418,105496,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/3/xiyuetiao_tex.png,image,102654,102732,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/6/wulian_tex.png,image,96456,96534,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/4/fennu_tex.png,image,95125,95203,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情声音/6.wav,audio,94630,94745,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/1/OK_tex.png,image,89020,89098,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情声音/4.mp3,audio,81535,81650,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/7/liubixue_tex.png,image,78661,78739,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/9_sanyan/9_sanyan_ske.json,data,72044,74096,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/2/gouyin_tex.png,image,68594,68672,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/5/wabikong_tex.png,image,67384,67462,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/10/feiwen_tex.png,image,64814,64892,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/2_gouyin/2_gouyin_ske.json,data,61540,64402,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/7_baidingwang/7_baidingwang_tex.png,image,59903,59981,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情kk/5_wulian/5_wulian_ske.json,data,57258,59416,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
